# util_output: detail

# resource	operation	var	loadBucket	startBucket	bktLength	rate	load
1352_G79-x-1352_G79	54400908_1352_M-at-1352-187252	OP377317T006	2017-07-16	2017-07-16	 16	 0.40000001	 13.19999981
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T007	2017-08-01	2017-08-01	 15	 0.40000001	 214.3999939
1352_G79-x-1352_G79	54400908_1352_M-at-1352-187252	OP377317T007	2017-08-01	2017-08-01	 15	 0.40000001	 11.60000038
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T008	2017-08-16	2017-08-16	 16	 0.40000001	 201.6000061
1352_G79-x-1352_G79	54400908_1352_M-at-1352-187252	OP377317T008	2017-08-16	2017-08-16	 16	 0.40000001	 11.60000038

1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T001	2017-05-01	2017-05-01	 15	 2000	 1040000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T002	2017-05-16	2017-05-16	 16	 2000	 1120000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T003	2017-06-01	2017-06-01	 15	 2000	 500000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T004	2017-06-16	2017-06-16	 15	 2000	 500000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T005	2017-07-01	2017-07-01	 15	 2000	 500000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T006	2017-07-16	2017-07-16	 16	 2000	 500000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T007	2017-08-01	2017-08-01	 15	 2000	 480000
1354_1354_ATTCAP-x-1354_1354_ATTCAP	00790908_1354_M-at-1354-187262	OP658187T008	2017-08-16	2017-08-16	 16	 2000	 520000

1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T001	2017-05-01	2017-05-01	 15	 2000	 1270000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T002	2017-05-16	2017-05-16	 16	 2000	 2668000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T003	2017-06-01	2017-06-01	 15	 2000	 980000
1365_CAP-x-1365_CAP	54400908_1365_M-at-1365-187959	OP093074T003	2017-06-01	2017-06-01	 15	 2000	 1644000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T004	2017-06-16	2017-06-16	 15	 2000	 2220000
1365_CAP-x-1365_CAP	54400908_1365_M-at-1365-187959	OP093074T004	2017-06-16	2017-06-16	 15	 2000	 334000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T005	2017-07-01	2017-07-01	 15	 2000	 2200000
1365_CAP-x-1365_CAP	54400908_1365_M-at-1365-187959	OP093074T005	2017-07-01	2017-07-01	 15	 2000	 350000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T006	2017-07-16	2017-07-16	 16	 2000	 2526000
1365_CAP-x-1365_CAP	54400908_1365_M-at-1365-187959	OP093074T006	2017-07-16	2017-07-16	 16	 2000	 98000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T007	2017-08-01	2017-08-01	 15	 2000	 2138000
1365_CAP-x-1365_CAP	54400908_1365_M-at-1365-187959	OP093074T007	2017-08-01	2017-08-01	 15	 2000	 202000
1365_CAP-x-1365_CAP	00790908_1365_M-at-1365-187953	OP032548T008	2017-08-16	2017-08-16	 16	 2000	 2060000
1365_CAP-x-1365_CAP	54400908_1365_M-at-1365-187959	OP093074T008	2017-08-16	2017-08-16	 16	 2000	 228000

1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T001	2017-05-01	2017-05-01	 15	 0.2181818	 291.49087524
1361_G79-x-1361_G79	00790908_1361_M-at-1361-187721	OP053220T002	2017-05-16	2017-05-16	 16	 0.2181818	 176.50907898
